Id,Title,Action,Drama,Adventure,Sci-Fi,Fantasy,Comedy,Romance,Thriller,Crime,War,Mystery,Animation,Children,Horror,Musical,Documentary,IMAX,Western,Film-Noir,Ratings,Label
1, Toy Story (1995),0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2.0,0
2, Jumanji (1995),0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.1,1
3, Grumpier Old Men (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8,1
4, Waiting to Exhale (1995),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1
5, Father of the Bride Part II (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,3
6, Heat (1995),1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.8,3
7, Sabrina (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0
8, Tom and Huck (1995),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.1,2
9, Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2
10, GoldenEye (1995),1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0
11," American President, The (1995)",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,2
12, Dracula: Dead and Loving It (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.8,3
13, Balto (1995),0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.6,1
14, Nixon (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,3
15, Cutthroat Island (1995),1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2
16, Casino (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.9,3
17, Sense and Sensibility (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0
18, Four Rooms (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2
19, Ace Ventura: When Nature Calls (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
20, Money Train (1995),1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9.8,3
21, Get Shorty (1995),0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3.1,1
22, Copycat (1995),0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,8.9,3
23, Assassins (1995),1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.3,3
24, Powder (1995),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1
25, Leaving Las Vegas (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,3
26, Othello (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2
27, Now and Then (1995),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,1
28, Persuasion (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2
29," City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.9,3
30, Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6,1
31, Dangerous Minds (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
32, Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0,0
33, Babe (1995),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.1,2
34, Dead Man Walking (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.1,2
35, It Takes Two (1995),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.4,2
36, Clueless (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
37," Cry, the Beloved Country (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,3
